Species,Group,Family,Low.Mobility,Detri.,Mono.,Olig.,Poly.,Poll.,Pred.,Mass,Grassland_specialist
Longitarsus_luridus,Coleoptera,Chrysomelidae,0,0,0,0,1,0,0,0.175465008,0
Longitarsus_melanocephalus,Coleoptera,Chrysomelidae,0,0,0,1,0,0,0,0.411597664,0
Longitarsus_nasturtii,Coleoptera,Chrysomelidae,0,0,0,1,0,0,0,0.175465008,1
Longitarsus_pratensis,Coleoptera,Chrysomelidae,0,0,0,1,0,0,0,0.096154339,0
Longitarsus_succineus,Coleoptera,Chrysomelidae,0,0,0,1,0,0,0,0.200029917,0
Loricera_pilicornis,Coleoptera,Carabidae,0,0,0,0,0,0,1,4.809328662,0
Lygus_maritimus,Heteroptera,Miridae,0,0,0,0,1,0,0,2.783251617,0
Lysandra_coridon,Lepidoptera,Lycaenidae,0,0,1,0,0,1,0,420.0808291,1
Maniola_jurtina,Lepidoptera,Satyridae,0,0,0,0,1,1,0,862.186564,0
Mecinus_pascuorum,Coleoptera,Curculionidae,0,0,1,0,0,0,0,0.132147675,0
Mecinus_pyraster,Coleoptera,Curculionidae,0,0,0,1,0,0,0,0.69631598,0
Megalonotus_chiragra,Heteroptera,Lygaeidae,0,0,0,1,0,0,0,2.068241512,0
Megophthalmus_scanicus,Homoptera,Cicadellidae,0,0,0,1,0,0,0,0.240684024,0
Meioneta_rurestris,Araneae,Linyphiidae,0,0,0,0,0,0,1,0.163920879,0
Melanargia_galathea,Lepidoptera,Satyridae,0,0,0,1,0,1,0,1160.252386,0
Melanostoma_scalare,Diptera,Syrphidae,0,1,0,0,0,1,0,3.334694977,0
Micrargus_subaequalis,Araneae,Linyphiidae,0,0,0,0,0,0,1,0.122483056,0
Microlestes_minutulus,Coleoptera,Carabidae,0,0,0,0,0,0,1,0.213066117,0
Myathropa_florea,Diptera,Syrphidae,0,1,0,0,0,1,0,3.334694977,0
Myrmica_lobicornis,Hymenoptera,Formicidae,0,0,0,0,0,0,1,1.961614075,0
Myrmica_rubra,Hymenoptera,Formicidae,0,0,0,0,0,0,1,1.961614075,0
Myrmica_ruginodis,Hymenoptera,Formicidae,0,0,0,0,0,0,1,1.961614075,0
Myrmica_sabuleti,Hymenoptera,Formicidae,0,0,0,0,0,0,1,1.961614075,0
Myrmica_scabrinodis,Hymenoptera,Formicidae,0,0,0,0,0,0,1,1.961614075,0
Nebria_brevicollis,Coleoptera,Carabidae,0,0,0,0,0,0,1,17.92216824,0
Neocrepidodera_ferruginea,Coleoptera,Chrysomelidae,0,0,0,0,1,0,0,0.616415414,0
Neophilaenus_lineatus,Homoptera,Cercopidae,0,0,0,0,1,0,0,2.530296939,0
Notiophilus_biguttatus,Coleoptera,Carabidae,0,0,0,0,0,0,1,1.479605209,0
Notostira_elongata,Heteroptera,Miridae,0,0,0,1,0,0,0,5.776794853,0
Ocypus_aeneocephalus,Coleoptera,Staphylinidae,0,0,0,0,0,0,1,2.42129377,0
Oedostethus_quadripustulatus,Coleoptera,Elateridae,0,0,0,0,1,0,0,0.66901252,1
Oedothorax_fuscus,Araneae,Linyphiidae,0,0,0,0,0,0,1,0.302310543,0
Pachygnatha_degeeri,Araneae,Tetragnathidae,0,0,0,0,0,0,1,1.569338486,0
Paederus_littoralis,Coleoptera,Staphylinidae,0,0,0,0,0,0,1,8.077283912,0
Paradromius_linearis,Coleoptera,Carabidae,0,0,0,0,0,0,1,2.068241512,0
Pardosa_agrestis,Araneae,Lycosidae,0,0,0,0,0,0,1,4.11275495,1
Pardosa_palustris,Araneae,Lycosidae,0,0,0,0,0,0,1,2.654911727,1
Pardosa_pullata,Araneae,Lycosidae,0,0,0,0,0,0,1,2.409365114,0
Pelecopsis_parallela,Araneae,Linyphiidae,0,0,0,0,0,0,1,0.213066117,0
Perapion_curtirostre,Coleoptera,Apionidae,0,0,0,1,0,0,0,0.336436156,0
Perapion_marchicum,Coleoptera,Apionidae,0,0,0,1,0,0,0,0.163920879,0
Philaenus_spumarius,Homoptera,Cercopidae,0,0,0,0,1,0,0,3.191038984,0
Philonthus_carbonarius,Coleoptera,Staphylinidae,0,0,0,0,0,0,1,7.320328809,0
Philonthus_cognatus,Coleoptera,Staphylinidae,0,0,0,0,0,0,1,20.05547157,0
Phyllobius_roboretanus,Coleoptera,Curculionidae,0,0,0,0,1,0,0,0.843136954,0
Pirata_latitans,Araneae,Lycosidae,0,0,0,0,0,0,1,1.569338486,0
Plagiognathus_chrysanthemi,Heteroptera,Miridae,0,0,0,0,1,0,0,0.939698117,0
Platycheirus_sp,Diptera,Syrphidae,0,1,0,0,0,1,0,6.498320937,0
Poecilus_cupreus,Coleoptera,Carabidae,0,0,0,0,1,0,1,13.05034037,0
Poecilus_versicolor,Coleoptera,Carabidae,0,0,0,0,1,0,1,13.05034037,0
Polymerus_unifasciatus,Heteroptera,Miridae,0,0,0,1,0,0,0,3.482282554,1
Polyommatus_icarus,Lepidoptera,Lycaenidae,0,0,1,0,0,1,0,290.2728131,0
Propylea_quattuordecimpunctata,Coleoptera,Coccinellidae,0,0,0,0,1,0,0,1.229684061,0
Protapion_apricans,Coleoptera,Apionidae,0,0,1,0,0,0,0,0.812377929,0
Protapion_assimile,Coleoptera,Apionidae,0,0,0,1,0,0,0,0.474234748,0
Protapion_difforme,Coleoptera,Apionidae,0,0,0,1,0,0,0,0.187498772,0
Protapion_filirostre,Coleoptera,Apionidae,0,0,0,1,0,0,0,0.132147675,1
Protapion_laevicolle,Coleoptera,Apionidae,0,0,0,1,0,0,0,0.187498772,0
Protapion_nigritarse,Coleoptera,Apionidae,0,0,0,1,0,0,0,0.132147675,0
Protapion_trifolii,Coleoptera,Apionidae,0,0,0,1,0,0,0,0.163920879,0
Pterostichus_melanarius,Coleoptera,Carabidae,0,0,0,0,0,0,1,36.1449695,0
Pterostichus_vernalis,Coleoptera,Carabidae,0,0,0,0,0,0,1,4.28060299,0
Pyronia_tithonus,Lepidoptera,Satyridae,0,0,0,1,0,1,0,546.0255691,1
Quedius_schatzmayri,Coleoptera,Staphylinidae,0,0,0,0,0,0,1,2.928777928,0
Quedius_semiobscurus,Coleoptera,Staphylinidae,0,0,0,0,0,0,1,2.654911727,0
Rhingia_campestris,Diptera,Syrphidae,0,1,0,0,0,1,0,4.28060299,0
Rhinoncus_pericarpius,Coleoptera,Curculionidae,0,0,0,1,0,0,0,0.519079074,0
Rhyzobius_litura,Coleoptera,Coccinellidae,0,0,0,0,0,0,1,0.642381141,0
Rugilus_orbiculatus,Coleoptera,Staphylinidae,0,0,0,0,0,0,1,14.92165493,0
Savignia_frontata,Araneae,Linyphiidae,0,0,0,0,0,0,1,0.122483056,0
Scaeva_pyrastri,Diptera,Syrphidae,0,1,0,0,0,1,0,6.631132386,0
Scymnus_femoralis,Coleoptera,Coccinellidae,0,0,0,0,0,0,1,0.496343791,0
Scymnus_haemorrhoidalis,Coleoptera,Coccinellidae,0,0,0,0,0,0,1,0.496343791,0
Sitona_cambricus,Coleoptera,Curculionidae,0,0,0,1,0,0,0,1.533052999,1
Sitona_hispidulus,Coleoptera,Curculionidae,0,0,0,1,0,0,0,0.939698117,0
Sitona_humeralis,Coleoptera,Curculionidae,0,0,0,1,0,0,0,1.351073065,0
Sitona_lepidus,Coleoptera,Curculionidae,0,0,0,1,0,0,0,2.068241512,0
Sitona_lineatus,Coleoptera,Curculionidae,0,0,0,1,0,0,0,1.435957851,0
Sitona_sulcifrons,Coleoptera,Curculionidae,0,0,0,1,0,0,0,0.66901252,0
Sphaeroderma_rubidum,Coleoptera,Chrysomelidae,0,0,0,1,0,0,0,0.752964675,0
Stenus_brunnipes,Coleoptera,Staphylinidae,0,0,0,0,0,0,1,3.557563353,0
Stenus_clavicornis,Coleoptera,Staphylinidae,0,0,0,0,0,0,1,0.758780764,0
Stenus_fulvicornis,Coleoptera,Staphylinidae,0,0,0,0,0,0,1,0.411597664,0
Stenus_nanus,Coleoptera,Staphylinidae,0,0,0,0,0,0,1,1.515106708,0
Stenus_ossium,Coleoptera,Staphylinidae,0,0,0,0,0,0,1,1.13013667,0
Stenus_pallipes,Coleoptera,Staphylinidae,0,0,0,0,0,0,1,1.569338486,0
Stenus_picipes,Coleoptera,Staphylinidae,0,0,0,0,0,0,1,2.3385562,0
Stenus_similis,Coleoptera,Staphylinidae,0,0,0,0,0,0,1,0.67441924,0
Streptanus_sordidus,Homoptera,Cicadellidae,0,0,0,1,0,0,0,1.078671265,0
Stygnocoris_sabulosus,Heteroptera,Lygaeidae,0,0,0,0,1,0,1,0.452745228,0
Sunius_propinquus,Coleoptera,Staphylinidae,0,0,0,0,0,0,1,2.068241512,0
Syntomus_foveatus,Coleoptera,Carabidae,0,0,0,0,0,0,1,0.812377929,0
Syntomus_obscuroguttatus,Coleoptera,Carabidae,0,0,0,0,0,0,1,0.542447269,0
Tachyporus_chrysomelinus,Coleoptera,Staphylinidae,0,0,0,0,0,0,1,1.190781284,0
Tachyporus_hypnorum,Coleoptera,Staphylinidae,0,0,0,0,0,0,1,0.973333701,0
Tachyporus_nitidulus,Coleoptera,Staphylinidae,0,0,0,0,0,0,1,0.376615308,0
Tachyporus_pusillus,Coleoptera,Staphylinidae,0,0,0,0,0,0,1,0.66901252,0
Thymelicus_sylvestris,Lepidoptera,Hesperiidae,0,0,0,1,0,1,0,246.4151907,0
Tibellus_oblongus,Araneae,Philodromidae,0,0,0,0,0,0,1,9.647509482,0
Trichosirocalus_troglodytes,Coleoptera,Curculionidae,0,0,1,0,0,0,0,0.336436156,0
Trigonotylus_ruficornis,Heteroptera,Miridae,0,0,0,1,0,0,0,3.051273818,0
Trochosa_ruricola,Araneae,Lycosidae,0,0,0,0,0,0,1,12.7145162,0
Tychius_junceus,Coleoptera,Curculionidae,0,0,0,1,0,0,0,0.187498772,1
Tychius_picirostris,Coleoptera,Curculionidae,0,0,0,1,0,0,0,0.187498772,0
Tychus_niger,Coleoptera,Staphylinidae,0,0,0,0,0,0,1,0.099439041,0
Tytthaspis_sedecimpunctata,Coleoptera,Coccinellidae,0,0,0,0,1,0,0,0.642381141,0
Xantholinus_longiventris,Coleoptera,Staphylinidae,0,0,0,0,0,0,1,3.868717336,0
Xysticus_cristatus,Araneae,Thomisidae,0,0,0,0,0,0,1,3.334694977,0
Zicrona_caerulea,Heteroptera,Pentatomidae,0,0,0,0,0,0,1,4.11275495,0
Zygaena_filipendulae,Lepidoptera,Zygaenidae,0,0,0,1,0,1,0,338.6554862,0
Abax_parallelus,Coleoptera,Carabidae,1,0,0,0,0,0,1,63.72205422,0
Aglais_urticae,Lepidoptera,Nymphalidae,1,0,0,1,0,1,0,1054.803325,0
Armadillidium_depressum,Isopoda,Armadillidiidae,1,1,0,0,0,0,0,36.78399866,0
Armadillidium_vulgare,Isopoda,Armadillidiidae,1,1,0,0,0,0,0,36.78399866,0
Barypeithes_pellucidus,Coleoptera,Curculionidae,1,0,1,0,0,0,0,0.855638988,0
Bombus_rupestris,Hymenoptera,Apidae,1,0,0,0,0,1,0,91.69527213,0
Bombus_vestalis,Hymenoptera,Apidae,1,0,0,0,0,1,0,78.18802061,0
Brachyiulus_pusillus,Diplopoda,Julidae,1,1,0,0,0,0,0,11.11,0
Capsus_ater,Heteroptera,Miridae,1,0,0,1,0,0,0,2.783251617,0
Carabus_problematicus,Coleoptera,Carabidae,1,0,0,0,0,0,1,133.0193987,0
Carabus_violaceus,Coleoptera,Carabidae,1,0,0,0,0,0,1,197.6939471,0
Chrysogaster_solstitialis,Diptera,Syrphidae,1,1,0,0,0,1,0,1.30982411,0
Chrysotoxum_bicinctum,Diptera,Syrphidae,1,0,0,0,0,1,1,3.512275428,0
Clubiona_neglecta,Araneae,Clubionidae,1,0,0,0,0,0,1,2.783251617,0
Colias_croceus,Lepidoptera,Pieridae,1,0,0,1,0,1,0,1215.323683,0
Cylindroiulus_caeruleocinctus,Diplopoda,Julidae,1,1,0,0,0,0,0,12.55,0
Doratura_stylata,Homoptera,Cicadellidae,1,0,0,1,0,0,0,1.007703722,0
Episyrphus_balteatus,Diptera,Syrphidae,1,0,0,0,0,1,1,3.557563353,0
Euophrys_frontalis,Araneae,Salticidae,1,0,0,0,0,0,1,0.542447269,0
Glomeris_marginata,Diplopoda,Glomeridae,1,1,0,0,0,0,0,4.6,0
Harpalus_affinis,Coleoptera,Carabidae,1,0,0,0,1,0,1,13.05034037,0
Heliophanus_flavipes,Araneae,Salticidae,1,0,0,0,0,0,1,2.068241512,0
Himacerus_boops,Heteroptera,Nabidae,1,0,0,0,0,0,1,4.628850886,0
Hoplitis_spinulosa,Hymenoptera,Megachilidae,1,0,0,1,0,1,0,22.14958167,1
Hypera_plantaginis,Coleoptera,Curculionidae,1,0,1,0,0,0,0,1.479605209,0
Inachis_io,Lepidoptera,Nymphalidae,1,0,0,1,0,1,0,1929.626215,0
Kalama_tricornis,Heteroptera,Tingidae,1,0,0,1,0,0,0,0.69631598,1
Ligidium_hypnorum,Isopoda,Ligiidae,1,1,0,0,0,0,0,4.994093905,0
Melitta_leporina,Hymenoptera,Melittidae,1,0,0,1,0,1,0,16.39025156,0
Melitta_tricincta,Hymenoptera,Melittidae,1,0,0,1,0,1,0,16.56010186,1
Nabis_flavomarginatus,Heteroptera,Nabidae,1,0,0,0,0,0,1,7.085909565,0
Neon_reticulatus,Araneae,Salticidae,1,0,0,0,0,0,1,0.411597664,0
Oniscus_asellus,Isopoda,Oniscidae,1,1,0,0,0,0,0,51.05943601,0
Ophyiulus_pilosus,Diplopoda,Julidae,1,1,0,0,0,0,0,9.78,0
Orthochaetes_setiger,Coleoptera,Curculionidae,1,0,0,0,1,0,0,0.566455005,0
Otiorhynchus_clavipes,Coleoptera,Curculionidae,1,0,0,0,1,0,0,88.8207409,0
Patrobus_atrorufus,Coleoptera,Carabidae,1,0,0,0,0,0,1,7.559483659,0
Philoscia_muscorum,Isopoda,Philosciidae,1,1,0,0,0,0,0,9.647509482,0
Pieris_brassicae,Lepidoptera,Pieridae,1,0,0,1,0,1,0,1451.656981,0
Pieris_rapae,Lepidoptera,Pieridae,1,0,0,1,0,1,0,774.7326896,0
Pithanus_maerkelii,Heteroptera,Miridae,1,0,0,1,0,0,0,1.569338486,0
Polydesmus_angustus,Diplopoda,Polydesmidae,1,1,0,0,0,0,0,11.11,0
Polydesmus_denticulatus,Diplopoda,Polydesmidae,1,1,0,0,0,0,0,14.1,0
Polydesmus_inconstans,Diplopoda,Polydesmidae,1,1,0,0,0,0,0,11.11,0
Porcellio_scaber,Isopoda,Porcellionidae,1,1,0,0,0,0,0,36.78399866,0
Pterostichus_macer,Coleoptera,Carabidae,1,0,0,0,0,0,1,27.37249664,0
Pterostichus_madidus,Coleoptera,Carabidae,1,0,0,0,0,0,1,38.74283421,0
Pterostichus_niger,Coleoptera,Carabidae,1,0,0,0,0,0,1,56.75312724,0
Sphaerophoria_sp.,Diptera,Syrphidae,1,0,0,0,0,1,1,4.593266431,0
Stenopterapion_tenue,Coleoptera,Apionidae,1,0,0,1,0,0,0,0.175465008,0
Syritta_pipiens,Diptera,Syrphidae,1,0,0,0,0,1,1,5.614600651,0
Syrphus_sp.,Diptera,Syrphidae,1,0,0,0,0,1,1,5.376640264,0
Tachypodoiulus_niger,Diplopoda,Julidae,1,1,0,0,0,0,0,9.78,0
Trachelipus_rathkei,Isopoda,Trachelipidae,1,1,0,0,0,0,0,25.28316404,1
Trachyphloeus_alternans,Coleoptera,Curculionidae,1,0,0,0,1,0,0,0.372846449,1
Trachyphloeus_asperatus,Coleoptera,Curculionidae,1,0,0,0,1,0,0,0.372846449,1
Tychius_lineatulus,Coleoptera,Curculionidae,1,0,0,1,0,0,0,0.302310543,1
Agonum_muelleri,Coleoptera,Carabidae,0,0,0,0,0,0,1,6.856189593,0
Melitta_haemorrhoidalis,Hymenoptera,Melittidae,0,0,0,0,1,1,0,16.56010186,0
Andrena_bicolor,Hymenoptera,Andrenidae,0,0,0,0,1,1,0,12.33342366,0
Andrena_nitidiuscula,Hymenoptera,Andrenidae,0,0,0,0,1,1,0,3.644277377,0
Halictus_rubicundus,Hymenoptera,Halictidae,0,0,0,0,1,1,0,13.06065207,0
Lasioglossum_xanthopus,Hymenoptera,Halictidae,0,0,0,0,1,1,0,5.188753587,0
Lasioglossum_zonulum,Hymenoptera,Halictidae,0,0,0,0,1,1,0,5.188753587,0
Altica_palustris,Coleoptera,Chrysomelidae,0,0,0,1,0,0,0,0.843136954,0
Aphrodes_flavostriatus,Homoptera,Cicadellidae,0,0,0,1,0,0,0,0.874605877,0
Perapion_hydrolapathi,Coleoptera,Apionidae,0,0,0,1,0,0,0,0.187498772,0
Aphrodes_trifasciatus,Homoptera,Cicadellidae,0,0,0,1,0,0,0,1.39311572,0
Cassida_flaveola,Coleoptera,Chrysomelidae,0,0,0,1,0,0,0,2.068241512,0
Eutrichapion_viciae,Coleoptera,Apionidae,0,0,0,1,0,0,0,0.411597664,0
Holotrichapion_pisi,Coleoptera,Apionidae,0,0,0,1,0,0,0,0.354352183,0
Leiosoma_deflexum,Coleoptera,Curculionidae,0,0,0,1,0,0,0,0.900296298,0
Longitarsus_gracilis,Coleoptera,Chrysomelidae,0,0,0,1,0,0,0,0.226614975,0
Omphalapion_hookerorum,Coleoptera,Apionidae,0,0,0,1,0,0,0,0.469887498,0
Leptopterna_ferrugata,Heteroptera,Miridae,0,0,0,1,0,0,0,5.183185034,0
