"","Species","Class","Order","Suborder","Family","Genus","Accession","Level"
"66","Agriopis aurantiaria","Insecta","Lepidoptera","Glossata","Geometridae","Agriopis","GCA_914767915.1","Chromosome"
"67","Agriopis leucophaearia","Insecta","Lepidoptera","Glossata","Geometridae","Agriopis","GCA_949125355.1","Chromosome"
"68","Agriopis marginaria","Insecta","Lepidoptera","Glossata","Geometridae","Agriopis","GCA_932305915.1","Chromosome"
"69","Agriotes lineatus","Insecta","Coleoptera","Polyphaga","Elateridae","Agriotes","GCA_940337035.1","Chromosome"
"70","Agriphila geniculea","Insecta","Lepidoptera","Glossata","Crambidae","Agriphila","GCA_943789525.1","Chromosome"
"71","Agriphila straminella","Insecta","Lepidoptera","Glossata","Crambidae","Agriphila","GCA_950108535.1","Chromosome"
"72","Agriphila tristella","Insecta","Lepidoptera","Glossata","Crambidae","Agriphila","GCA_928269145.1","Chromosome"
"73","Agrochola circellaris","Insecta","Lepidoptera","Glossata","Noctuidae","Agrochola","GCA_914767755.1","Chromosome"
"74","Agrochola litura","Insecta","Lepidoptera","Glossata","Noctuidae","Agrochola","GCA_949152395.1","Chromosome"
"75","Agrochola lota","Insecta","Lepidoptera","Glossata","Noctuidae","Agrochola","GCA_947364205.1","Chromosome"
"76","Agrochola lychnidis","Insecta","Lepidoptera","Glossata","Noctuidae","Agrochola","GCA_963680765.1","Chromosome"
"77","Agrochola macilenta","Insecta","Lepidoptera","Glossata","Noctuidae","Agrochola","GCA_916701695.1","Chromosome"
"78","Agrotis clavis","Insecta","Lepidoptera","Glossata","Noctuidae","Agrotis","GCA_954870645.1","Chromosome"
"79","Agrotis exclamationis","Insecta","Lepidoptera","Glossata","Noctuidae","Agrotis","GCA_950005045.1","Chromosome"
"80","Agrotis ipsilon","Insecta","Lepidoptera","Glossata","Noctuidae","Agrotis","GCA_028554685.1","Chromosome"
"81","Agrotis puta","Insecta","Lepidoptera","Glossata","Noctuidae","Agrotis","GCA_943136025.2","Chromosome"
"82","Agrypnia vestita","Insecta","Trichoptera","Integripalpia","Phryganeidae","Agrypnia","GCA_016648135.1","Scaffold"
"83","Agrypnus murinus","Insecta","Coleoptera","Polyphaga","Elateridae","Agrypnus","GCA_929113105.1","Chromosome"
"84","Aguna camagura","Insecta","Lepidoptera","Glossata","Hesperiidae","Aguna","GCA_018248955.1","Contig"
"85","Aguna claxon","Insecta","Lepidoptera","Glossata","Hesperiidae","Aguna","GCA_022318285.1","Contig"
"86","Aguna metophis","Insecta","Lepidoptera","Glossata","Hesperiidae","Aguna","GCA_018249175.1","Contig"
"87","Agyllia agylla","Insecta","Lepidoptera","Glossata","Hesperiidae","Agyllia","GCA_018230925.1","Contig"
"88","Agyllia kituina","Insecta","Lepidoptera","Glossata","Hesperiidae","Agyllia","GCA_018231025.1","Contig"
"89","Alaus oculatus","Insecta","Coleoptera","Polyphaga","Elateridae","Alaus","GCA_009852465.1","Scaffold"
"90","Alcis repandata","Insecta","Lepidoptera","Glossata","Geometridae","Alcis","GCA_949125135.1","Chromosome"
"91","Aleiodes alternator","Insecta","Hymenoptera","Apocrita","Braconidae","Aleiodes","GCA_963921975.1","Contig"
"92","Aleiodes sp. PSUC_FEM 10030003","Insecta","Hymenoptera","Apocrita","Braconidae","Aleiodes","GCA_018902275.1","Scaffold"
"93","Aleiodes testaceus","Insecta","Hymenoptera","Apocrita","Braconidae","Aleiodes","GCA_963565655.1","Chromosome"
"94","Aleochara bilineata","Insecta","Coleoptera","Polyphaga","Staphylinidae","Aleochara","GCA_003054995.1","Scaffold"
"95","Aleochara nigra","Insecta","Coleoptera","Polyphaga","Staphylinidae","Aleochara","GCA_030264675.1","Scaffold"
"96","Aleochara sp. GC000083","Insecta","Coleoptera","Polyphaga","Staphylinidae","Aleochara","GCA_030264555.1","Scaffold"
"97","Alera haworthiana","Insecta","Lepidoptera","Glossata","Hesperiidae","Alera","GCA_018249475.1","Contig"
"98","Allancastria cerisyi","Insecta","Lepidoptera","Glossata","Papilionidae","Allancastria","GCA_018248115.1","Contig"
"99","Allophyes oxyacanthae","Insecta","Lepidoptera","Glossata","Noctuidae","Allophyes","GCA_932294325.1","Chromosome"
"100","Alloplasta piceator","Insecta","Hymenoptera","Apocrita","Ichneumonidae","Alloplasta","GCA_946863875.1","Chromosome"
"101","Allygus modestus","Insecta","Hemiptera","Auchenorrhyncha","Cicadellidae","Allygus","GCA_963675035.1","Chromosome"
"102","Alsophila aescularia","Insecta","Lepidoptera","Glossata","Geometridae","Alsophila","GCA_946251855.1","Chromosome"
"103","Alychna victa","Insecta","Lepidoptera","Glossata","Hesperiidae","Alychna","GCA_018250175.1","Contig"
"104","Amblyjoppa fuscipennis","Insecta","Hymenoptera","Apocrita","Ichneumonidae","Amblyjoppa","GCA_963575735.1","Chromosome"
"105","Amblyjoppa proteus","Insecta","Hymenoptera","Apocrita","Ichneumonidae","Amblyjoppa","GCA_963922025.1","Scaffold"
"106","Amblyteles armatorius","Insecta","Hymenoptera","Apocrita","Ichneumonidae","Amblyteles","GCA_933228735.2","Chromosome"
"107","Amiota mariae","Insecta","Diptera","Brachycera","Drosophilidae","Amiota","GCA_035041805.1","Contig"
"108","Amitus sp. ZL-2020","Insecta","Hymenoptera","Apocrita","Platygastridae","Amitus","GCA_022817785.1","Scaffold"
"109","Amorpha juglandis","Insecta","Lepidoptera","Glossata","Sphingidae","Amorpha","GCA_949126905.1","Chromosome"
"110","Amphibolips quercusostensackenii","Insecta","Hymenoptera","Apocrita","Cynipidae","Amphibolips","GCA_032357855.1","Scaffold"
"111","Amphimallon solstitiale","Insecta","Coleoptera","Polyphaga","Scarabaeidae","Amphimallon","GCA_963170755.1","Chromosome"
"112","Amphinemura sulcicollis","Insecta","Plecoptera",NA,"Nemouridae","Amphinemura","GCA_001676325.1","Contig"
"113","Amphipoea lucens","Insecta","Lepidoptera","Glossata","Noctuidae","Amphipoea","GCA_947508005.1","Chromosome"
"114","Amphipoea oculea","Insecta","Lepidoptera","Glossata","Noctuidae","Amphipoea","GCA_945859645.1","Chromosome"
"115","Amphipyra berbera","Insecta","Lepidoptera","Glossata","Noctuidae","Amphipyra","GCA_910594945.2","Chromosome"
"116","Amphipyra tragopoginis","Insecta","Lepidoptera","Glossata","Noctuidae","Amphipyra","GCA_905220435.1","Chromosome"
"117","Amphistomus primonactus","Insecta","Coleoptera","Polyphaga","Scarabaeidae","Amphistomus","GCA_033557545.1","Contig"
"118","Ampittia dioscorides","Insecta","Lepidoptera","Glossata","Hesperiidae","Ampittia","GCA_018251355.1","Contig"
"119","Ampulex compressa","Insecta","Hymenoptera","Apocrita","Ampulicidae","Ampulex","GCA_019049445.1","Scaffold"
"120","Amyelois transitella","Insecta","Lepidoptera","Glossata","Pyralidae","Amyelois","GCF_032362555.1","Complete Genome"
"121","Anagrus nilaparvatae","Insecta","Hymenoptera","Apocrita","Mymaridae","Anagrus","GCA_022575985.1","Contig"
"122","Anagyrus pseudococci","Insecta","Hymenoptera","Apocrita","Encyrtidae","Anagyrus","GCA_030522585.1","Scaffold"
"123","Anania crocealis","Insecta","Lepidoptera","Glossata","Crambidae","Anania","GCA_949315895.1","Chromosome"
"124","Anania fuscalis","Insecta","Lepidoptera","Glossata","Crambidae","Anania","GCA_950371115.1","Chromosome"
"125","Anania hortulata","Insecta","Lepidoptera","Glossata","Crambidae","Anania","GCA_963576865.1","Chromosome"
"126","Anarsia innoxiella","Insecta","Lepidoptera","Glossata","Gelechiidae","Anarsia","GCA_947563765.1","Chromosome"
"127","Anaspis maculata","Insecta","Coleoptera","Polyphaga","Scraptiidae","Anaspis","GCA_949128115.1","Chromosome"
"128","Anastatus disparis","Insecta","Hymenoptera","Apocrita","Eupelmidae","Anastatus","GCA_017163975.1","Contig"
"129","Anastrepha ludens","Insecta","Diptera","Brachycera","Tephritidae","Anastrepha","GCF_028408465.1","Chromosome"
"130","Anastrepha obliqua","Insecta","Diptera","Brachycera","Tephritidae","Anastrepha","GCF_027943255.1","Chromosome"
"131","Anastrus sempiternus","Insecta","Lepidoptera","Glossata","Hesperiidae","Anastrus","GCA_018250755.1","Contig"
"132","Ancistrocerus nigricornis","Insecta","Hymenoptera","Apocrita","Vespidae","Ancistrocerus","GCA_916049575.1","Chromosome"
"133","Andrena bicolor","Insecta","Hymenoptera","Apocrita","Andrenidae","Andrena","GCA_960531205.1","Chromosome"
"134","Andrena bucephala","Insecta","Hymenoptera","Apocrita","Andrenidae","Andrena","GCA_947577245.1","Chromosome"
"135","Andrena camellia","Insecta","Hymenoptera","Apocrita","Andrenidae","Andrena","GCA_029168295.1","Chromosome"
"136","Andrena chrysosceles","Insecta","Hymenoptera","Apocrita","Andrenidae","Andrena","GCA_963855975.1","Chromosome"
"137","Andrena dorsata","Insecta","Hymenoptera","Apocrita","Andrenidae","Andrena","GCA_929108735.1","Chromosome"
"138","Andrena fulva","Insecta","Hymenoptera","Apocrita","Andrenidae","Andrena","GCA_946251845.1","Chromosome"
"139","Andrena haemorrhoa","Insecta","Hymenoptera","Apocrita","Andrenidae","Andrena","GCA_910592295.1","Chromosome"
"140","Andrena hattorfiana","Insecta","Hymenoptera","Apocrita","Andrenidae","Andrena","GCA_944738655.2","Chromosome"
"141","Andrena minutula","Insecta","Hymenoptera","Apocrita","Andrenidae","Andrena","GCA_929113495.1","Chromosome"
"142","Andrena trimmerana","Insecta","Hymenoptera","Apocrita","Andrenidae","Andrena","GCA_952773225.1","Chromosome"
"143","Andricus coriarius","Insecta","Hymenoptera","Apocrita","Cynipidae","Andricus","GCA_932066315.1","Scaffold"
"144","Andricus curvator","Insecta","Hymenoptera","Apocrita","Cynipidae","Andricus","GCA_932195095.1","Scaffold"
"145","Andricus grossulariae","Insecta","Hymenoptera","Apocrita","Cynipidae","Andricus","GCA_932062195.1","Scaffold"
"146","Andricus inflator","Insecta","Hymenoptera","Apocrita","Cynipidae","Andricus","GCA_900474215.1","Scaffold"
"147","Andricus kollari","Insecta","Hymenoptera","Apocrita","Cynipidae","Andricus","GCA_932074435.1","Scaffold"
"148","Andricus pictus","Insecta","Hymenoptera","Apocrita","Cynipidae","Andricus","GCA_932074545.1","Scaffold"
"149","Andricus quercuspetiolicola","Insecta","Hymenoptera","Apocrita","Cynipidae","Andricus","GCA_035222095.1","Scaffold"
"150","Andricus quercusramuli","Insecta","Hymenoptera","Apocrita","Cynipidae","Andricus","GCA_900474265.1","Scaffold"
"151","Andricus quercustozae","Insecta","Hymenoptera","Apocrita","Cynipidae","Andricus","GCA_932072015.1","Scaffold"
"152","Aneuroscelio sp. ZL-2020","Insecta","Hymenoptera","Apocrita","Scelionidae","Aneuroscelio","GCA_022817765.1","Scaffold"
"153","Anisolabis maritima","Insecta","Dermaptera","Neodermaptera","Anisolabididae","Anisolabis","GCA_010014785.2","Scaffold"
"154","Anisynta dominula","Insecta","Lepidoptera","Glossata","Hesperiidae","Anisynta","GCA_018249655.1","Contig"
"155","Anomoia purmunda","Insecta","Diptera","Brachycera","Tephritidae","Anomoia","GCA_951828415.1","Chromosome"
"156","Anoncus sp. PSUC_FEM 10030000","Insecta","Hymenoptera","Apocrita","Ichneumonidae","Anoncus","GCA_018902145.1","Scaffold"
"157","Anopheles albimanus","Insecta","Diptera","Nematocera","Culicidae","Anopheles","GCA_015501965.1","Chromosome"
"158","Anopheles aquasalis","Insecta","Diptera","Nematocera","Culicidae","Anopheles","GCF_943734665.1","Chromosome"
"159","Anopheles arabiensis","Insecta","Diptera","Nematocera","Culicidae","Anopheles","GCF_016920715.1","Chromosome"
"160","Anopheles atroparvus","Insecta","Diptera","Nematocera","Culicidae","Anopheles","GCA_015501955.1","Chromosome"
"161","Anopheles bellator","Insecta","Diptera","Nematocera","Culicidae","Anopheles","GCF_943735745.2","Chromosome"
"162","Anopheles bwambae","Insecta","Diptera","Nematocera","Culicidae","Anopheles","GCA_007018985.1","Scaffold"
"163","Anopheles christyi","Insecta","Diptera","Nematocera","Culicidae","Anopheles","GCA_000349165.1","Scaffold"
"164","Anopheles coluzzii","Insecta","Diptera","Nematocera","Culicidae","Anopheles","GCA_016097095.1","Chromosome"
"165","Anopheles coustani","Insecta","Diptera","Nematocera","Culicidae","Anopheles","GCF_943734705.1","Chromosome"
"166","Anopheles cracens","Insecta","Diptera","Nematocera","Culicidae","Anopheles","GCA_002091845.1","Scaffold"
"167","Anopheles cruzii","Insecta","Diptera","Nematocera","Culicidae","Anopheles","GCF_943734635.1","Chromosome"
"168","Anopheles culicifacies","Insecta","Diptera","Nematocera","Culicidae","Anopheles","GCA_000473375.1","Scaffold"
"169","Anopheles darlingi","Insecta","Diptera","Nematocera","Culicidae","Anopheles","GCF_943734745.1","Chromosome"
"170","Anopheles dirus","Insecta","Diptera","Nematocera","Culicidae","Anopheles","GCA_000349145.1","Scaffold"
"171","Anopheles epiroticus","Insecta","Diptera","Nematocera","Culicidae","Anopheles","GCA_000349105.1","Scaffold"
"172","Anopheles farauti","Insecta","Diptera","Nematocera","Culicidae","Anopheles","GCA_000956265.1","Contig"
"173","Anopheles farauti No. 4","Insecta","Diptera","Nematocera","Culicidae","Anopheles","GCA_000956215.1","Contig"
"174","Anopheles fontenillei","Insecta","Diptera","Nematocera","Culicidae","Anopheles","GCA_008817895.1","Scaffold"
"175","Anopheles funestus","Insecta","Diptera","Nematocera","Culicidae","Anopheles","GCF_943734845.2","Chromosome"
"176","Anopheles funestus-like sensu Spillings et al. (2009)","Insecta","Diptera","Nematocera","Culicidae","Anopheles","GCA_016170035.1","Chromosome"
"177","Anopheles gambiae","Insecta","Diptera","Nematocera","Culicidae","Anopheles","GCF_943734735.2","Chromosome"
"178","Anopheles koliensis","Insecta","Diptera","Nematocera","Culicidae","Anopheles","GCA_000956275.1","Contig"
"179","Anopheles longipalpis","Insecta","Diptera","Nematocera","Culicidae","Anopheles","GCA_016170015.1","Chromosome"
"180","Anopheles maculatus","Insecta","Diptera","Nematocera","Culicidae","Anopheles","GCA_002091835.1","Scaffold"
"181","Anopheles maculipalpis","Insecta","Diptera","Nematocera","Culicidae","Anopheles","GCF_943734695.1","Chromosome"
"182","Anopheles marshallii","Insecta","Diptera","Nematocera","Culicidae","Anopheles","GCF_943734725.1","Chromosome"
"183","Anopheles melas","Insecta","Diptera","Nematocera","Culicidae","Anopheles","GCA_000473525.2","Scaffold"
"184","Anopheles merus","Insecta","Diptera","Nematocera","Culicidae","Anopheles","GCF_017562075.2","Chromosome"
"185","Anopheles minimus","Insecta","Diptera","Nematocera","Culicidae","Anopheles","GCA_000349025.1","Scaffold"
"186","Anopheles moucheti","Insecta","Diptera","Nematocera","Culicidae","Anopheles","GCF_943734755.1","Chromosome"
"187","Anopheles nili","Insecta","Diptera","Nematocera","Culicidae","Anopheles","GCF_943737925.1","Chromosome"
"188","Anopheles parensis","Insecta","Diptera","Nematocera","Culicidae","Anopheles","GCA_016254315.1","Chromosome"
"189","Anopheles plumbeus","Insecta","Diptera","Nematocera","Culicidae","Anopheles","GCA_034621735.1","Scaffold"
"190","Anopheles punctulatus","Insecta","Diptera","Nematocera","Culicidae","Anopheles","GCA_000956255.1","Contig"
"191","Anopheles quadriannulatus","Insecta","Diptera","Nematocera","Culicidae","Anopheles","GCA_000349065.1","Scaffold"
"192","Anopheles rivulorum","Insecta","Diptera","Nematocera","Culicidae","Anopheles","GCA_018908115.1","Chromosome"
"193","Anopheles sinensis","Insecta","Diptera","Nematocera","Culicidae","Anopheles","GCA_000472065.1","Scaffold"
"194","Anopheles sp. NFL-2015","Insecta","Diptera","Nematocera","Culicidae","Anopheles","GCA_016171315.1","Chromosome"
"195","Anopheles stephensi","Insecta","Diptera","Nematocera","Culicidae","Anopheles","GCA_020882675.1","Chromosome"
"196","Anopheles vaneedeni","Insecta","Diptera","Nematocera","Culicidae","Anopheles","GCA_016170025.1","Chromosome"
"197","Anopheles ziemanni","Insecta","Diptera","Nematocera","Culicidae","Anopheles","GCA_943734765.1","Chromosome"
"198","Anoplius nigerrimus","Insecta","Hymenoptera","Apocrita","Pompilidae","Anoplius","GCA_914767735.1","Chromosome"
"199","Anoplolepis gracilipes","Insecta","Hymenoptera","Apocrita","Formicidae","Anoplolepis","GCA_031304115.1","Scaffold"
"200","Anoplophora glabripennis","Insecta","Coleoptera","Polyphaga","Cerambycidae","Anoplophora","GCF_000390285.1","Scaffold"
"201","Anorthoa munda","Insecta","Lepidoptera","Glossata","Noctuidae","Anorthoa","GCA_945859665.1","Chromosome"
"202","Antheraea assamensis","Insecta","Lepidoptera","Glossata","Saturniidae","Antheraea","GCA_035772565.1","Contig"
"203","Antheraea mylitta","Insecta","Lepidoptera","Glossata","Saturniidae","Antheraea","GCA_014332785.1","Scaffold"
"204","Antheraea pernyi","Insecta","Lepidoptera","Glossata","Saturniidae","Antheraea","GCA_015888305.1","Scaffold"
"205","Anthidium xuezhongi","Insecta","Hymenoptera","Apocrita","Megachilidae","Anthidium","GCA_022405125.1","Chromosome"
"206","Anthocharis cardamines","Insecta","Lepidoptera","Glossata","Pieridae","Anthocharis","GCA_905404175.1","Chromosome"
"207","Anthonomus grandis","Insecta","Coleoptera","Polyphaga","Curculionidae","Anthonomus","GCF_022605725.1","Chromosome"
"208","Anthophora plumipes","Insecta","Hymenoptera","Apocrita","Apidae","Anthophora","GCA_951804975.1","Chromosome"
"209","Anthoptus insignis","Insecta","Lepidoptera","Glossata","Hesperiidae","Anthoptus","GCA_022318365.1","Contig"
"210","Anticlea derivata","Insecta","Lepidoptera","Glossata","Geometridae","Anticlea","GCA_947579855.1","Chromosome"
"211","Antitype chi","Insecta","Lepidoptera","Glossata","Noctuidae","Antitype","GCA_947359405.1","Chromosome"
"212","Apamea anceps","Insecta","Lepidoptera","Glossata","Noctuidae","Apamea","GCA_951799955.1","Chromosome"
"213","Apamea crenata","Insecta","Lepidoptera","Glossata","Noctuidae","Apamea","GCA_949629185.1","Chromosome"
"214","Apamea epomidion","Insecta","Lepidoptera","Glossata","Noctuidae","Apamea","GCA_947507525.1","Chromosome"
"215","Apamea monoglypha","Insecta","Lepidoptera","Glossata","Noctuidae","Apamea","GCA_911387795.2","Chromosome"
"216","Apamea sordens","Insecta","Lepidoptera","Glossata","Noctuidae","Apamea","GCA_945859715.1","Chromosome"
"217","Apantesis nais","Insecta","Lepidoptera","Glossata","Erebidae","Apantesis","GCA_024757885.1","Scaffold"
"218","Apeira syringaria","Insecta","Lepidoptera","Glossata","Geometridae","Apeira","GCA_934044485.1","Chromosome"
"219","Aphaenogaster ashmeadi","Insecta","Hymenoptera","Apocrita","Formicidae","Aphaenogaster","GCA_003063805.1","Scaffold"
"220","Aphaenogaster floridana","Insecta","Hymenoptera","Apocrita","Formicidae","Aphaenogaster","GCA_003063835.1","Scaffold"
"221","Aphaenogaster fulva","Insecta","Hymenoptera","Apocrita","Formicidae","Aphaenogaster","GCA_003063765.1","Scaffold"
"222","Aphaenogaster miamiana","Insecta","Hymenoptera","Apocrita","Formicidae","Aphaenogaster","GCA_003063725.1","Scaffold"
"223","Aphaenogaster picea","Insecta","Hymenoptera","Apocrita","Formicidae","Aphaenogaster","GCA_003063865.1","Scaffold"
"224","Aphaenogaster rudis","Insecta","Hymenoptera","Apocrita","Formicidae","Aphaenogaster","GCA_003063745.1","Scaffold"
"225","Aphelinus atriplicis","Insecta","Hymenoptera","Apocrita","Aphelinidae","Aphelinus","GCA_020882685.1","Chromosome"
"226","Aphelinus certus","Insecta","Hymenoptera","Apocrita","Aphelinidae","Aphelinus","GCA_020882725.1","Chromosome"
"227","Aphidius colemani","Insecta","Hymenoptera","Apocrita","Braconidae","Aphidius","GCA_030523065.1","Scaffold"
