"","doi","Class","Order","Suborder","Family","Genus","Species","Accession","Level","Trait","Collection","Estimate","Value","Metric","Adjusted_Value","Adjusted_Metric","Converted_Value","Converted_Metric","Conversion_Citation"
"73","https://doi.org/10.1002/ece3.4835","Insecta","Hymenoptera","Apocrita","Halictidae","Agapostemon","Agapostemon virescens","GCA_028453745.1","Chromosome","mass","Dry","NA",9.5,"mg",9.5,"mg",9.5,"mg",NA
"74","https://doi.org/10.1002/ece3.4835","Insecta","Hymenoptera","Apocrita","Halictidae","Agapostemon","Agapostemon virescens","GCA_028453745.1","Chromosome","mass","Dry","NA",7.3,"mg",7.3,"mg",7.3,"mg",NA
"75","https://doi.org/10.1002/ece3.4835","Insecta","Hymenoptera","Apocrita","Halictidae","Agapostemon","Agapostemon virescens","GCA_028453745.1","Chromosome","mass","Dry","NA",7.7,"mg",7.7,"mg",7.7,"mg",NA
"76","https://doi.org/10.1002/ece3.4835","Insecta","Hymenoptera","Apocrita","Halictidae","Agapostemon","Agapostemon virescens","GCA_028453745.1","Chromosome","mass","Dry","NA",7.9,"mg",7.9,"mg",7.9,"mg",NA
"77","https://doi.org/10.1002/ece3.4835","Insecta","Hymenoptera","Apocrita","Halictidae","Agapostemon","Agapostemon virescens","GCA_028453745.1","Chromosome","mass","Dry","NA",15.3,"mg",15.3,"mg",15.3,"mg",NA
"78","https://doi.org/10.1002%2Fece3.2732","Insecta","Coleoptera","Adephaga","Carabidae","Agonum","Agonum fuliginosum","GCA_947534325.1","Chromosome","size","NA","No",6.5,"mm",6.5,"mm",4.12790492624456,"mg","Sample_et_al_1993"
"80","https://doi.org/10.5061/dryad.2fqz612p3","Insecta","Coleoptera","Polyphaga","Buprestidae","Agrilus","Agrilus cyanescens","GCA_947389935.1","Chromosome","size","NA","No",7.088,"mm",7.088,"mm",5.12217820472995,"mg","Sample_et_al_1993"
"81","https://doi.org/10.7717/peerj.12799/supp-1","Insecta","Coleoptera","Polyphaga","Buprestidae","Agrilus","Agrilus cyanescens","GCA_947389935.1","Chromosome","mass","Live","Yes",2.66,"mg",2.66,"mg",2.66,"mg",NA
"84","https://doi.org/10.1002%2Fece3.6546","Insecta","Lepidoptera","Glossata","Geometridae","Agriopis","Agriopis aurantiaria","GCA_914767915.1","Chromosome","mass","Dry","Yes",17.7956009695676,"mg",17.7956009695676,"mg",17.7956009695676,"mg",NA
"85","https://doi.org/10.1002%2Fece3.6546","Insecta","Lepidoptera","Glossata","Geometridae","Agriopis","Agriopis leucophaearia","GCA_949125355.1","Chromosome","mass","Dry","Yes",10.5579271781761,"mg",10.5579271781761,"mg",10.5579271781761,"mg",NA
"86","https://doi.org/10.1002%2Fece3.6546","Insecta","Lepidoptera","Glossata","Geometridae","Agriopis","Agriopis marginaria","GCA_932305915.1","Chromosome","mass","Dry","Yes",15.4917954801563,"mg",15.4917954801563,"mg",15.4917954801563,"mg",NA
"87","https://doi.org/10.7717/peerj.12799/supp-1","Insecta","Coleoptera","Polyphaga","Elateridae","Agriotes","Agriotes lineatus","GCA_940337035.1","Chromosome","mass","Live","Yes",11.4,"mg",11.4,"mg",11.4,"mg",NA
"88","https://doi.org/10.1002%2Fece3.6546","Insecta","Lepidoptera","Glossata","Crambidae","Agriphila","Agriphila geniculea","GCA_943789525.1","Chromosome","mass","Dry","Yes",4.96838426917698,"mg",4.96838426917698,"mg",4.96838426917698,"mg",NA
"89","https://doi.org/10.1002%2Fece3.6546","Insecta","Lepidoptera","Glossata","Crambidae","Agriphila","Agriphila straminella","GCA_950108535.1","Chromosome","mass","Dry","Yes",2.93130301873773,"mg",2.93130301873773,"mg",2.93130301873773,"mg",NA
"90","https://doi.org/10.1002%2Fece3.6546","Insecta","Lepidoptera","Glossata","Crambidae","Agriphila","Agriphila tristella","GCA_928269145.1","Chromosome","mass","Dry","Yes",6.46890577923448,"mg",6.46890577923448,"mg",6.46890577923448,"mg",NA
"91","https://doi.org/10.1002%2Fece3.6546","Insecta","Lepidoptera","Glossata","Noctuidae","Agrochola","Agrochola circellaris","GCA_914767755.1","Chromosome","mass","Dry","Yes",40.550057138435,"mg",40.550057138435,"mg",40.550057138435,"mg",NA
"92","https://doi.org/10.1002%2Fece3.6546","Insecta","Lepidoptera","Glossata","Noctuidae","Agrochola","Agrochola litura","GCA_949152395.1","Chromosome","mass","Dry","Yes",36.3276393836374,"mg",36.3276393836374,"mg",36.3276393836374,"mg",NA
"93","https://doi.org/10.1002%2Fece3.6546","Insecta","Lepidoptera","Glossata","Noctuidae","Agrochola","Agrochola lota","GCA_947364205.1","Chromosome","mass","Dry","Yes",40.550057138435,"mg",40.550057138435,"mg",40.550057138435,"mg",NA
"94","https://doi.org/10.1002%2Fece3.6546","Insecta","Lepidoptera","Glossata","Noctuidae","Agrochola","Agrochola lychnidis","GCA_963680765.1","Chromosome","mass","Dry","Yes",40.550057138435,"mg",40.550057138435,"mg",40.550057138435,"mg",NA
"95","https://doi.org/10.1002%2Fece3.6546","Insecta","Lepidoptera","Glossata","Noctuidae","Agrochola","Agrochola macilenta","GCA_916701695.1","Chromosome","mass","Dry","Yes",34.2919086880309,"mg",34.2919086880309,"mg",34.2919086880309,"mg",NA
"96","https://doi.org/10.1002%2Fece3.6546","Insecta","Lepidoptera","Glossata","Noctuidae","Agrotis","Agrotis clavis","GCA_954870645.1","Chromosome","mass","Dry","Yes",38.4138171940784,"mg",38.4138171940784,"mg",38.4138171940784,"mg",NA
"97","https://doi.org/10.1002%2Fece3.6546","Insecta","Lepidoptera","Glossata","Noctuidae","Agrotis","Agrotis exclamationis","GCA_950005045.1","Chromosome","mass","Dry","Yes",42.7359888918486,"mg",42.7359888918486,"mg",42.7359888918486,"mg",NA
"98","https://doi.org/10.1002%2Fece3.6546","Insecta","Lepidoptera","Glossata","Noctuidae","Agrotis","Agrotis ipsilon","GCA_028554685.1","Chromosome","mass","Dry","Yes",56.8759874946079,"mg",56.8759874946079,"mg",56.8759874946079,"mg",NA
"99","https://doi.org/10.1002%2Fece3.6546","Insecta","Lepidoptera","Glossata","Noctuidae","Agrotis","Agrotis puta","GCA_943136025.2","Chromosome","mass","Dry","Yes",30.3734084573801,"mg",30.3734084573801,"mg",30.3734084573801,"mg",NA
"100","https://doi.org/10.1002%2Fece3.6546","Insecta","Lepidoptera","Glossata","Noctuidae","Agrotis","Agrotis puta","GCA_943136025.2","Chromosome","mass","Dry","Yes",30.3734084573801,"mg",30.3734084573801,"mg",30.3734084573801,"mg",NA
"104","https://doi.org/10.1002%2Fece3.6546","Insecta","Lepidoptera","Glossata","Geometridae","Alcis","Alcis repandata","GCA_949125135.1","Chromosome","mass","Dry","Yes",27.4537205734427,"mg",27.4537205734427,"mg",27.4537205734427,"mg",NA
"105","https://doi.org/10.1002%2Fece3.6546","Insecta","Lepidoptera","Glossata","Geometridae","Alcis","Alcis repandata","GCA_949125135.1","Chromosome","mass","Dry","Yes",27.4537205734427,"mg",27.4537205734427,"mg",27.4537205734427,"mg",NA
"106","https://doi.org/10.1002%2Fece3.6546","Insecta","Lepidoptera","Glossata","Geometridae","Alcis","Alcis repandata","GCA_949125135.1","Chromosome","mass","Dry","Yes",27.4537205734427,"mg",27.4537205734427,"mg",27.4537205734427,"mg",NA
"108","https://doi.org/10.1002%2Fece3.6546","Insecta","Lepidoptera","Glossata","Noctuidae","Allophyes","Allophyes oxyacanthae","GCA_932294325.1","Chromosome","mass","Dry","Yes",49.5884316978382,"mg",49.5884316978382,"mg",49.5884316978382,"mg",NA
"109","https://doi.org/10.1002%2Fece3.6546","Insecta","Lepidoptera","Glossata","Geometridae","Alsophila","Alsophila aescularia","GCA_946251855.1","Chromosome","mass","Dry","Yes",14.4121843410236,"mg",14.4121843410236,"mg",14.4121843410236,"mg",NA
"110","https://doi.org/10.1111/1744-7917.12362","Insecta","Hymenoptera","Apocrita","Ichneumonidae","Amblyteles","Amblyteles armatorius","GCA_933228735.2","Chromosome","mass","Dry","No",18.13,"mg",18.13,"mg",18.13,"mg",NA
"111","https://doi.org/10.1002%2Fece3.6546","Insecta","Lepidoptera","Glossata","Noctuidae","Amphipoea","Amphipoea lucens","GCA_947508005.1","Chromosome","mass","Dry","Yes",36.3276393836374,"mg",36.3276393836374,"mg",36.3276393836374,"mg",NA
"112","https://doi.org/10.1002%2Fece3.6546","Insecta","Lepidoptera","Glossata","Noctuidae","Amphipoea","Amphipoea oculea","GCA_945859645.1","Chromosome","mass","Dry","Yes",28.4914925187623,"mg",28.4914925187623,"mg",28.4914925187623,"mg",NA
"113","https://doi.org/10.1002%2Fece3.6546","Insecta","Lepidoptera","Glossata","Noctuidae","Amphipyra","Amphipyra berbera","GCA_910594945.2","Chromosome","mass","Dry","Yes",75.5281366215807,"mg",75.5281366215807,"mg",75.5281366215807,"mg",NA
"114","https://doi.org/10.1002%2Fece3.6546","Insecta","Lepidoptera","Glossata","Noctuidae","Amphipyra","Amphipyra berbera","GCA_910594945.2","Chromosome","mass","Dry","Yes",75.5281366215807,"mg",75.5281366215807,"mg",75.5281366215807,"mg",NA
"115","https://doi.org/10.1002%2Fece3.6546","Insecta","Lepidoptera","Glossata","Noctuidae","Amphipyra","Amphipyra tragopoginis","GCA_905220435.1","Chromosome","mass","Dry","Yes",42.7359888918486,"mg",42.7359888918486,"mg",42.7359888918486,"mg",NA
"117","https://doi.org/10.1002%2Fece3.6546","Insecta","Lepidoptera","Glossata","Crambidae","Anania","Anania crocealis","GCA_949315895.1","Chromosome","mass","Dry","Yes",4.96838426917698,"mg",4.96838426917698,"mg",4.96838426917698,"mg",NA
"118","https://doi.org/10.1002%2Fece3.6546","Insecta","Lepidoptera","Glossata","Crambidae","Anania","Anania fuscalis","GCA_950371115.1","Chromosome","mass","Dry","Yes",4.96838426917698,"mg",4.96838426917698,"mg",4.96838426917698,"mg",NA
"119","https://doi.org/10.1002%2Fece3.6546","Insecta","Lepidoptera","Glossata","Crambidae","Anania","Anania hortulata","GCA_963576865.1","Chromosome","mass","Dry","Yes",8.18307545372311,"mg",8.18307545372311,"mg",8.18307545372311,"mg",NA
"120","https://doi.org/10.1002/ece3.4835","Insecta","Hymenoptera","Apocrita","Andrenidae","Andrena","Andrena bicolor","GCA_960531205.1","Chromosome","mass","Dry","NA",7.9,"mg",7.9,"mg",7.9,"mg",NA
"121","https://doi.org/10.1002/ece3.4835","Insecta","Hymenoptera","Apocrita","Andrenidae","Andrena","Andrena bicolor","GCA_960531205.1","Chromosome","mass","Dry","NA",9.9,"mg",9.9,"mg",9.9,"mg",NA
"122","https://doi.org/10.1002/ece3.4835","Insecta","Hymenoptera","Apocrita","Andrenidae","Andrena","Andrena bicolor","GCA_960531205.1","Chromosome","mass","Dry","NA",9.7,"mg",9.7,"mg",9.7,"mg",NA
"123","https://doi.org/10.1002/ece3.4835","Insecta","Hymenoptera","Apocrita","Andrenidae","Andrena","Andrena bicolor","GCA_960531205.1","Chromosome","mass","Dry","NA",13.2,"mg",13.2,"mg",13.2,"mg",NA
"124","https://doi.org/10.1002/ece3.4835","Insecta","Hymenoptera","Apocrita","Andrenidae","Andrena","Andrena bicolor","GCA_960531205.1","Chromosome","mass","Dry","NA",6.9,"mg",6.9,"mg",6.9,"mg",NA
"125","https://doi.org/10.1002/ece3.4835","Insecta","Hymenoptera","Apocrita","Andrenidae","Andrena","Andrena bicolor","GCA_960531205.1","Chromosome","mass","Dry","NA",0.593,"mg",0.593,"mg",0.593,"mg",NA
"126","https://doi.org/10.1002/ece3.4835","Insecta","Hymenoptera","Apocrita","Andrenidae","Andrena","Andrena bicolor","GCA_960531205.1","Chromosome","mass","Dry","NA",11,"mg",11,"mg",11,"mg",NA
"127","https://doi.org/10.1002/ece3.4835","Insecta","Hymenoptera","Apocrita","Andrenidae","Andrena","Andrena bicolor","GCA_960531205.1","Chromosome","mass","Dry","NA",9,"mg",9,"mg",9,"mg",NA
"128","https://doi.org/10.1002/ece3.4835","Insecta","Hymenoptera","Apocrita","Andrenidae","Andrena","Andrena bicolor","GCA_960531205.1","Chromosome","mass","Dry","NA",7.8,"mg",7.8,"mg",7.8,"mg",NA
